Term	Database	ID	gene_number	Background number	PValue	Qvalue	Input	Hyperlink
trichome differentiation	Gene Ontology	GO:0010026	14	64	6.25459447037e-19	9.8367713034e-18	Barthea27543|Barthea36624|Barthea31004|Barthea33120|Barthea22192|Barthea42152|Barthea07796|Barthea35091|Barthea25579|Barthea39355|Barthea05318|Barthea16445|Barthea10747|Barthea37279	http://amigo.geneontology.org/amigo/term/GO:0010026
protein binding	Gene Ontology	GO:0005515	85	7261	1.01162116737e-18	1.4584205163e-17	Barthea30478|Barthea06114|Barthea22052|Barthea22116|Barthea00409|Barthea33945|Barthea28786|Barthea16797|Barthea10527|Barthea38744|Barthea15079|Barthea21537|Barthea07517|Barthea07796|Barthea06814|Barthea34182|Barthea21473|Barthea44610|Barthea16120|Barthea06097|Barthea34082|Barthea00901|Barthea20683|Barthea43714|Barthea34395|Barthea06610|Barthea21873|Barthea11684|Barthea22191|Barthea00176|Barthea22192|Barthea35386|Barthea01234|Barthea19659|Barthea15378|Barthea30074|Barthea43422|Barthea11131|Barthea16445|Barthea09737|Barthea37279|Barthea39137|Barthea26465|Barthea29918|Barthea13820|Barthea31004|Barthea39217|Barthea37700|Barthea42165|Barthea43898|Barthea45553|Barthea35034|Barthea18940|Barthea14692|Barthea45090|Barthea18941|Barthea17974|Barthea39355|Barthea11543|Barthea15997|Barthea03308|Barthea42757|Barthea26551|Barthea20697|Barthea46276|Barthea00288|Barthea05240|Barthea32558|Barthea08446|Barthea13620|Barthea01636|Barthea18804|Barthea41070|Barthea43505|Barthea19842|Barthea27074|Barthea08508|Barthea13129|Barthea34021|Barthea23001|Barthea22232|Barthea18610|Barthea23840|Barthea17499|Barthea19057	http://amigo.geneontology.org/amigo/term/GO:0005515
positive regulation of auxin mediated signaling pathway	Gene Ontology	GO:0010929	11	24	4.05277174858e-18	5.39330394233e-17	Barthea28786|Barthea16120|Barthea00288|Barthea10527|Barthea32558|Barthea06814|Barthea34395|Barthea09737|Barthea44610|Barthea37700|Barthea42757	http://amigo.geneontology.org/amigo/term/GO:0010929
regulation of secondary cell wall biogenesis	Gene Ontology	GO:2000652	13	62	1.87175077137e-17	2.31294916748e-16	Barthea41691|Barthea00409|Barthea23180|Barthea14794|Barthea18773|Barthea10781|Barthea04802|Barthea01853|Barthea23840|Barthea06524|Barthea33161|Barthea15997|Barthea27506	http://amigo.geneontology.org/amigo/term/GO:2000652
response to chitin	Gene Ontology	GO:0010200	19	319	1.45437198319e-15	1.67737568728e-14	Barthea28786|Barthea16120|Barthea13820|Barthea11684|Barthea00288|Barthea10527|Barthea32558|Barthea27301|Barthea34395|Barthea44203|Barthea33345|Barthea42757|Barthea06814|Barthea10940|Barthea44610|Barthea05744|Barthea37700|Barthea09737|Barthea05591	http://amigo.geneontology.org/amigo/term/GO:0010200
regulation of phenylpropanoid metabolic process	Gene Ontology	GO:2000762	10	31	2.50327744068e-15	2.70666873273e-14	Barthea30478|Barthea18773|Barthea38744|Barthea04802|Barthea45090|Barthea01853|Barthea18610|Barthea06524|Barthea21873|Barthea17499	http://amigo.geneontology.org/amigo/term/GO:2000762
cell fate commitment	Gene Ontology	GO:0045165	9	32	1.83058776219e-13	1.86289225211e-12	Barthea26551|Barthea33945|Barthea29918|Barthea39217|Barthea08446|Barthea18941|Barthea45553|Barthea21473|Barthea43422	http://amigo.geneontology.org/amigo/term/GO:0045165
myosin complex	Gene Ontology	GO:0016459	8	19	2.84838007825e-13	2.73760974187e-12	Barthea27543|Barthea36624|Barthea33120|Barthea42152|Barthea35091|Barthea25579|Barthea05318|Barthea10747	http://amigo.geneontology.org/amigo/term/GO:0016459
seed coat development	Gene Ontology	GO:0010214	10	59	6.81546133014e-13	6.20565689533e-12	Barthea27543|Barthea36624|Barthea13631|Barthea33120|Barthea24723|Barthea42152|Barthea35091|Barthea25579|Barthea05318|Barthea10747	http://amigo.geneontology.org/amigo/term/GO:0010214
response to auxin	Gene Ontology	GO:0009733	20	557	2.11084142058e-12	1.8258778288e-11	Barthea39137|Barthea13132|Barthea20683|Barthea15375|Barthea43714|Barthea14692|Barthea16797|Barthea05240|Barthea13620|Barthea43505|Barthea01636|Barthea41070|Barthea07517|Barthea17974|Barthea42168|Barthea23001|Barthea11543|Barthea11131|Barthea03308|Barthea19842	http://amigo.geneontology.org/amigo/term/GO:0009733
negative regulation of response to salt stress	Gene Ontology	GO:1901001	8	26	2.26811929361e-12	1.86849827521e-11	Barthea28786|Barthea10527|Barthea32558|Barthea06814|Barthea34395|Barthea44610|Barthea37700|Barthea42757	http://amigo.geneontology.org/amigo/term/GO:1901001
negative regulation of transcription, DNA-templated	Gene Ontology	GO:0045892	18	433	2.769501803e-12	2.02684627295e-11	Barthea30478|Barthea01234|Barthea15079|Barthea45056|Barthea39203|Barthea18610|Barthea04802|Barthea36788|Barthea04652|Barthea45090|Barthea01853|Barthea27777|Barthea38744|Barthea06524|Barthea32889|Barthea21873|Barthea17499|Barthea10030	http://amigo.geneontology.org/amigo/term/GO:0045892
microfilament motor activity	Gene Ontology	GO:0000146	8	27	2.92896860252e-12	2.02684627295e-11	Barthea27543|Barthea36624|Barthea33120|Barthea42152|Barthea35091|Barthea25579|Barthea05318|Barthea10747	http://amigo.geneontology.org/amigo/term/GO:0000146
vesicle transport along actin filament	Gene Ontology	GO:0030050	8	27	2.92896860252e-12	2.02684627295e-11	Barthea27543|Barthea36624|Barthea33120|Barthea42152|Barthea35091|Barthea25579|Barthea05318|Barthea10747	http://amigo.geneontology.org/amigo/term/GO:0030050
actin-dependent ATPase activity	Gene Ontology	GO:0030898	8	27	2.92896860252e-12	2.02684627295e-11	Barthea27543|Barthea36624|Barthea33120|Barthea42152|Barthea35091|Barthea25579|Barthea05318|Barthea10747	http://amigo.geneontology.org/amigo/term/GO:0030898
actin filament-based movement	Gene Ontology	GO:0030048	8	28	3.75148983323e-12	2.4961836198e-11	Barthea27543|Barthea36624|Barthea33120|Barthea42152|Barthea35091|Barthea25579|Barthea05318|Barthea10747	http://amigo.geneontology.org/amigo/term/GO:0030048
mucilage biosynthetic process involved in seed coat development	Gene Ontology	GO:0048354	8	30	6.01671102743e-12	3.7174678848e-11	Barthea27543|Barthea36624|Barthea33120|Barthea42152|Barthea35091|Barthea25579|Barthea05318|Barthea10747	http://amigo.geneontology.org/amigo/term/GO:0048354
motor activity	Gene Ontology	GO:0003774	8	30	6.01671102743e-12	3.7174678848e-11	Barthea27543|Barthea36624|Barthea33120|Barthea42152|Barthea35091|Barthea25579|Barthea05318|Barthea10747	http://amigo.geneontology.org/amigo/term/GO:0003774
negative regulation of metabolic process	Gene Ontology	GO:0009892	6	6	6.6826277275e-12	3.98653309261e-11	Barthea46276|Barthea06610|Barthea43898|Barthea34182|Barthea22232|Barthea19659	http://amigo.geneontology.org/amigo/term/GO:0009892
pollen sperm cell differentiation	Gene Ontology	GO:0048235	10	80	1.05745605022e-11	6.09799655627e-11	Barthea27468|Barthea23702|Barthea27811|Barthea40285|Barthea23690|Barthea33198|Barthea20417|Barthea32864|Barthea26275|Barthea20428	http://amigo.geneontology.org/amigo/term/GO:0048235
root hair cell differentiation	Gene Ontology	GO:0048765	9	54	1.13653746777e-11	6.34261232013e-11	Barthea26551|Barthea33945|Barthea29918|Barthea39217|Barthea08446|Barthea18941|Barthea45553|Barthea21473|Barthea43422	http://amigo.geneontology.org/amigo/term/GO:0048765
negative regulation of sinapate ester biosynthetic process	Gene Ontology	GO:1903086	6	8	2.15576566593e-11	1.1301438188e-10	Barthea30478|Barthea38744|Barthea45090|Barthea18610|Barthea21873|Barthea17499	http://amigo.geneontology.org/amigo/term/GO:1903086
positive regulation of flavonol biosynthetic process	Gene Ontology	GO:1900386	6	8	2.15576566593e-11	1.1301438188e-10	Barthea43714|Barthea16797|Barthea13620|Barthea11543|Barthea41070|Barthea07517	http://amigo.geneontology.org/amigo/term/GO:1900386
trichome patterning	Gene Ontology	GO:0048629	6	9	3.57961154227e-11	1.82139057886e-10	Barthea31004|Barthea22192|Barthea07796|Barthea39355|Barthea16445|Barthea37279	http://amigo.geneontology.org/amigo/term/GO:0048629
regulation of potassium ion transport	Gene Ontology	GO:0043266	6	12	1.31298792305e-10	6.48991173396e-10	Barthea27301|Barthea44203|Barthea33345|Barthea10940|Barthea05744|Barthea05591	http://amigo.geneontology.org/amigo/term/GO:0043266
response to salt	Gene Ontology	GO:1902074	8	48	1.63181419089e-10	7.84177375065e-10	Barthea13132|Barthea41691|Barthea15375|Barthea42168|Barthea23180|Barthea14794|Barthea29780|Barthea45676	http://amigo.geneontology.org/amigo/term/GO:1902074
response to UV-B	Gene Ontology	GO:0010224	12	194	1.86268371016e-10	8.70401151149e-10	Barthea30478|Barthea43714|Barthea21873|Barthea13620|Barthea16797|Barthea11543|Barthea41070|Barthea45090|Barthea38744|Barthea18610|Barthea07517|Barthea17499	http://amigo.geneontology.org/amigo/term/GO:0010224
positive regulation of wax biosynthetic process	Gene Ontology	GO:1904278	6	13	1.91186380021e-10	8.70401151149e-10	Barthea39137|Barthea43505|Barthea03308|Barthea14692|Barthea17974|Barthea01636	http://amigo.geneontology.org/amigo/term/GO:1904278
trichome morphogenesis	Gene Ontology	GO:0010090	10	111	2.07543802709e-10	9.20643022272e-10	Barthea00409|Barthea36624|Barthea05318|Barthea27543|Barthea33120|Barthea42152|Barthea35091|Barthea25579|Barthea15997|Barthea10747	http://amigo.geneontology.org/amigo/term/GO:0010090
positive regulation of response to salt stress	Gene Ontology	GO:1901002	6	18	9.30976121856e-10	3.92826509954e-09	Barthea20683|Barthea05240|Barthea04802|Barthea01853|Barthea06524|Barthea06097	http://amigo.geneontology.org/amigo/term/GO:1901002
proanthocyanidin biosynthetic process	Gene Ontology	GO:0010023	6	18	9.30976121856e-10	3.92826509954e-09	Barthea22116|Barthea22191|Barthea35034|Barthea18940|Barthea19057|Barthea35386	http://amigo.geneontology.org/amigo/term/GO:0010023
cellular response to potassium ion	Gene Ontology	GO:0035865	6	22	2.5674074729e-09	1.03293370421e-08	Barthea27301|Barthea44203|Barthea33345|Barthea10940|Barthea05744|Barthea05591	http://amigo.geneontology.org/amigo/term/GO:0035865
cinnamic acid biosynthetic process	Gene Ontology	GO:0009800	6	22	2.5674074729e-09	1.03293370421e-08	Barthea46276|Barthea06610|Barthea43898|Barthea34182|Barthea22232|Barthea19659	http://amigo.geneontology.org/amigo/term/GO:0009800
actin cytoskeleton	Gene Ontology	GO:0015629	8	75	4.08836735596e-09	1.60747171041e-08	Barthea27543|Barthea36624|Barthea33120|Barthea42152|Barthea35091|Barthea25579|Barthea05318|Barthea10747	http://amigo.geneontology.org/amigo/term/GO:0015629
vesicle	Gene Ontology	GO:0031982	8	76	4.5015535775e-09	1.73059726424e-08	Barthea27543|Barthea36624|Barthea33120|Barthea42152|Barthea35091|Barthea25579|Barthea05318|Barthea10747	http://amigo.geneontology.org/amigo/term/GO:0031982
regulation of stomatal movement	Gene Ontology	GO:0010119	10	163	6.81640859517e-09	2.56356236297e-08	Barthea41112|Barthea15605|Barthea13631|Barthea39203|Barthea24723|Barthea04652|Barthea41998|Barthea39905|Barthea12989|Barthea00666	http://amigo.geneontology.org/amigo/term/GO:0010119
glucosinolate metabolic process	Gene Ontology	GO:0019760	8	82	7.82338815284e-09	2.87967266052e-08	Barthea28786|Barthea10527|Barthea32558|Barthea06814|Barthea34395|Barthea44610|Barthea37700|Barthea42757	http://amigo.geneontology.org/amigo/term/GO:0019760
actin filament organization	Gene Ontology	GO:0007015	8	93	1.95606874888e-08	7.04999778243e-08	Barthea27543|Barthea36624|Barthea33120|Barthea42152|Barthea35091|Barthea25579|Barthea05318|Barthea10747	http://amigo.geneontology.org/amigo/term/GO:0007015
response to water deprivation	Gene Ontology	GO:0009414	16	607	2.58360384341e-08	9.1217033655e-08	Barthea39137|Barthea13132|Barthea41691|Barthea13820|Barthea15375|Barthea11684|Barthea23180|Barthea14794|Barthea41610|Barthea01636|Barthea14692|Barthea43505|Barthea09737|Barthea17974|Barthea42168|Barthea03308	http://amigo.geneontology.org/amigo/term/GO:0009414
anther wall tapetum morphogenesis	Gene Ontology	GO:0048655	4	5	4.80235616322e-08	1.66161523247e-07	Barthea40285|Barthea27468|Barthea33198|Barthea26275	http://amigo.geneontology.org/amigo/term/GO:0048655
regulation of gene expression	Gene Ontology	GO:0010468	10	214	7.8869847614e-08	2.67538894848e-07	Barthea27543|Barthea36624|Barthea23690|Barthea33120|Barthea42152|Barthea20417|Barthea25579|Barthea05318|Barthea10747|Barthea35091	http://amigo.geneontology.org/amigo/term/GO:0010468
negative regulation of gibberellin biosynthetic process	Gene Ontology	GO:0010373	4	7	1.24897032275e-07	4.15522818915e-07	Barthea45056|Barthea32889|Barthea27777|Barthea10030	http://amigo.geneontology.org/amigo/term/GO:0010373
root epidermal cell differentiation	Gene Ontology	GO:0010053	6	48	1.59815945144e-07	5.21663368113e-07	Barthea31004|Barthea22192|Barthea07796|Barthea39355|Barthea16445|Barthea37279	http://amigo.geneontology.org/amigo/term/GO:0010053
organ boundary specification between lateral organs and the meristem	Gene Ontology	GO:0010199	5	24	1.84847713315e-07	5.87224629081e-07	Barthea05226|Barthea06114|Barthea27074|Barthea00901|Barthea20697	http://amigo.geneontology.org/amigo/term/GO:0010199
protein storage vacuole organization	Gene Ontology	GO:1990019	4	8	1.8668991098e-07	5.87224629081e-07	Barthea40285|Barthea27468|Barthea33198|Barthea26275	http://amigo.geneontology.org/amigo/term/GO:1990019
flavonol biosynthetic process	Gene Ontology	GO:0051555	6	50	1.99426834493e-07	6.16086470845e-07	Barthea43714|Barthea16797|Barthea13620|Barthea11543|Barthea41070|Barthea07517	http://amigo.geneontology.org/amigo/term/GO:0051555
actin filament binding	Gene Ontology	GO:0051015	8	162	1.08993473121e-06	3.30804751752e-06	Barthea27543|Barthea36624|Barthea33120|Barthea42152|Barthea35091|Barthea25579|Barthea05318|Barthea10747	http://amigo.geneontology.org/amigo/term/GO:0051015
negative regulation of cell population proliferation	Gene Ontology	GO:0008285	5	42	2.23681306122e-06	6.67187344122e-06	Barthea40285|Barthea27468|Barthea33198|Barthea26275|Barthea36788	http://amigo.geneontology.org/amigo/term/GO:0008285
flavonoid biosynthetic process	Gene Ontology	GO:0009813	6	79	2.41263815085e-06	6.98505883748e-06	Barthea43714|Barthea16797|Barthea13620|Barthea11543|Barthea41070|Barthea07517	http://amigo.geneontology.org/amigo/term/GO:0009813
response to ethylene	Gene Ontology	GO:0009723	10	316	2.42256375866e-06	6.98505883748e-06	Barthea27468|Barthea33198|Barthea43714|Barthea16797|Barthea13620|Barthea11543|Barthea40285|Barthea41070|Barthea07517|Barthea26275	http://amigo.geneontology.org/amigo/term/GO:0009723
positive regulation of programmed cell death	Gene Ontology	GO:0043068	4	19	3.21343315089e-06	9.11350713284e-06	Barthea40285|Barthea27468|Barthea33198|Barthea26275	http://amigo.geneontology.org/amigo/term/GO:0043068
seed germination	Gene Ontology	GO:0009845	8	206	6.02186558444e-06	1.68029475179e-05	Barthea27543|Barthea36624|Barthea33120|Barthea42152|Barthea35091|Barthea25579|Barthea05318|Barthea10747	http://amigo.geneontology.org/amigo/term/GO:0009845
regulation of lignin biosynthetic process	Gene Ontology	GO:1901141	4	23	6.28026941735e-06	1.72458191937e-05	Barthea06524|Barthea18773|Barthea01853|Barthea04802	http://amigo.geneontology.org/amigo/term/GO:1901141
trichome branching	Gene Ontology	GO:0010091	6	95	6.58936306716e-06	1.78118720409e-05	Barthea31004|Barthea22192|Barthea07796|Barthea39355|Barthea16445|Barthea37279	http://amigo.geneontology.org/amigo/term/GO:0010091
cellular response to brassinosteroid stimulus	Gene Ontology	GO:0071367	3	6	7.25595575171e-06	1.93120053084e-05	Barthea13129|Barthea42165|Barthea15378	http://amigo.geneontology.org/amigo/term/GO:0071367
