##Databases: KEGG PATHWAY, Gene Ontology
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
MAPK signaling pathway - plant	KEGG PATHWAY	ath04016	46	271	0.0200720041492	0.782808161818	Barthea09289|Barthea44676|Barthea29141|Barthea08325|Barthea36710|Barthea24355|Barthea10506|Barthea24150|Barthea24351|Barthea37586|Barthea24339|Barthea25802|Barthea24372|Barthea36379|Barthea09729|Barthea25056|Barthea21366|Barthea12299|Barthea10390|Barthea35100|Barthea13933|Barthea35206|Barthea28922|Barthea08393|Barthea34276|Barthea17441|Barthea17440|Barthea10499|Barthea28909|Barthea10773|Barthea44667|Barthea07741|Barthea33206|Barthea46313|Barthea09692|Barthea42844|Barthea07815|Barthea07618|Barthea26438|Barthea11774|Barthea09263|Barthea11676|Barthea35119|Barthea17474|Barthea09159|Barthea41057	http://www.genome.jp/kegg-bin/show_pathway?ath04016/ath:AT4G17870%09red/ath:AT1G32640%09red/ath:AT1G63440%09red/ath:AT4G33520%09red/ath:AT3G23150%09red/ath:AT4G36450%09red/ath:AT2G38470%09red/ath:AT3G50500%09red/ath:AT5G21930%09red/ath:AT2G43790%09red/ath:AT1G10210%09red/ath:AT1G72770%09red/ath:AT5G45860%09red/ath:AT3G20770%09red/ath:AT2G18170%09red/ath:AT2G25490%09red/ath:AT5G05440%09red/ath:AT3G21220%09red/ath:AT1G73730%09red/ath:AT2G14610%09red/ath:AT2G26040%09red/ath:AT3G43810%09red/ath:AT1G59580%09red/ath:AT3G61510%09red/ath:AT4G01250%09red/ath:AT1G64060%09red/ath:AT4G08500%09red/ath:AT4G01370%09red/ath:AT4G23900%09red/ath:AT1G43700%09red/ath:AT1G50060%09red/ath:AT3G18690%09red/ath:AT2G29380%09red
Diterpenoid biosynthesis	KEGG PATHWAY	ath00904	13	53	0.0210951329896	0.786751448827	Barthea42881|Barthea25470|Barthea39460|Barthea21293|Barthea41878|Barthea15722|Barthea38646|Barthea07832|Barthea14255|Barthea22578|Barthea07829|Barthea39005|Barthea37822	http://www.genome.jp/kegg-bin/show_pathway?ath00904/ath:AT1G30040%09red/ath:AT4G21200%09red/ath:AT5G51810%09red/ath:AT1G05160%09red/ath:AT4G25420%09red/ath:AT2G32440%09red/ath:AT1G15550%09red/ath:AT4G02780%09red/ath:AT5G25900%09red
Carbon fixation in photosynthetic organisms	KEGG PATHWAY	ath00710	27	142	0.0218791538934	0.786751448827	Barthea07231|Barthea28912|Barthea25520|Barthea07579|Barthea28074|Barthea30419|Barthea14358|Barthea15216|Barthea43077|Barthea29047|Barthea30100|Barthea35266|Barthea23851|Barthea35160|Barthea36523|Barthea37768|Barthea35015|Barthea35016|Barthea29524|Barthea13382|Barthea10020|Barthea10004|Barthea20565|Barthea29694|Barthea30384|Barthea35271|Barthea20785	http://www.genome.jp/kegg-bin/show_pathway?ath00710/ath:AT1G16300%09red/ath:AT5G38410%09red/ath:AT1G70580%09red/ath:AT5G11520%09red/ath:AT5G43330%09red/ath:AT1G79750%09red/ath:AT4G15530%09red/ath:AT5G38420%09red/ath:ArthCp030%09red/ath:AT1G71100%09red/ath:AT2G01140%09red/ath:AT2G30970%09red/ath:AT2G45290%09red/ath:AT3G55440%09red/ath:AT1G32060%09red/ath:AT3G04790%09red/ath:AT1G53310%09red/ath:AT1G43670%09red/ath:AT2G36460%09red
Phenylalanine metabolism	KEGG PATHWAY	ath00360	16	74	0.0282894959064	0.884000556781	Barthea35227|Barthea21131|Barthea35160|Barthea17136|Barthea35015|Barthea35016|Barthea46007|Barthea07579|Barthea08796|Barthea08787|Barthea08793|Barthea08788|Barthea21108|Barthea36791|Barthea36437|Barthea08799	http://www.genome.jp/kegg-bin/show_pathway?ath00360/ath:AT3G53260%09red/ath:AT5G11520%09red/ath:AT4G12290%09red/ath:AT4G31990%09red/ath:AT2G20340%09red/ath:AT2G30970%09red/ath:AT2G37040%09red/ath:AT4G14940%09red
Flavonoid biosynthesis	KEGG PATHWAY	ath00941	17	81	0.0301597368819	0.884000556781	Barthea43550|Barthea20867|Barthea10180|Barthea20870|Barthea20862|Barthea44791|Barthea30175|Barthea13806|Barthea10333|Barthea25585|Barthea10166|Barthea44280|Barthea19543|Barthea40912|Barthea33261|Barthea02115|Barthea44897	http://www.genome.jp/kegg-bin/show_pathway?ath00941/ath:AT2G30490%09red/ath:AT5G48930%09red/ath:AT3G51240%09red/ath:AT5G42800%09red/ath:AT5G13930%09red/ath:AT5G07990%09red/ath:AT4G26220%09red
Tryptophan metabolism	KEGG PATHWAY	ath00380	23	120	0.0301973741109	0.884000556781	Barthea35174|Barthea29164|Barthea29166|Barthea29169|Barthea29168|Barthea39345|Barthea46323|Barthea40896|Barthea08796|Barthea08793|Barthea17514|Barthea14883|Barthea08799|Barthea29170|Barthea33892|Barthea12334|Barthea39459|Barthea19430|Barthea01370|Barthea08787|Barthea45144|Barthea08788|Barthea08051	http://www.genome.jp/kegg-bin/show_pathway?ath00380/ath:AT5G11320%09red/ath:AT5G25620%09red/ath:AT4G36250%09red/ath:AT1G54100%09red/ath:AT4G28720%09red/ath:AT1G21430%09red/ath:AT2G20340%09red/ath:AT1G80360%09red/ath:AT1G48910%09red/ath:AT4G13260%09red/ath:AT4G35160%09red/ath:AT1G48030%09red/ath:AT1G44170%09red
Carotenoid biosynthesis	KEGG PATHWAY	ath00906	16	81	0.0517401147641	0.996776197488	Barthea17232|Barthea10423|Barthea25446|Barthea28769|Barthea26887|Barthea17253|Barthea17229|Barthea36290|Barthea12001|Barthea36295|Barthea12017|Barthea01866|Barthea02770|Barthea21092|Barthea08687|Barthea22703	http://www.genome.jp/kegg-bin/show_pathway?ath00906/ath:AT5G17230%09red/ath:AT4G19170%09red/ath:AT4G19230%09red/ath:AT1G52340%09red/ath:AT1G10830%09red/ath:AT3G19270%09red/ath:AT4G14210%09red/ath:AT1G31800%09red/ath:AT1G30100%09red
Valine, leucine and isoleucine biosynthesis	KEGG PATHWAY	ath00290	8	32	0.0579817466433	0.999997412981	Barthea04582|Barthea08586|Barthea09280|Barthea02604|Barthea14090|Barthea42459|Barthea12085|Barthea46102	http://www.genome.jp/kegg-bin/show_pathway?ath00290/ath:AT5G65770%09red/ath:AT3G10050%09red/ath:AT3G48560%09red/ath:AT5G65780%09red/ath:AT1G74040%09red/ath:AT1G50110%09red/ath:AT3G23940%09red
Tyrosine metabolism	KEGG PATHWAY	ath00350	14	74	0.0835827467881	0.999997412981	Barthea35227|Barthea35160|Barthea08788|Barthea08796|Barthea35015|Barthea35016|Barthea00184|Barthea07579|Barthea16225|Barthea08787|Barthea08793|Barthea46007|Barthea36437|Barthea08799	http://www.genome.jp/kegg-bin/show_pathway?ath00350/ath:AT5G11520%09red/ath:AT4G12290%09red/ath:AT4G31990%09red/ath:AT2G20340%09red/ath:AT2G30970%09red/ath:AT1G22430%09red/ath:AT4G22110%09red/ath:AT4G14940%09red
Phenylpropanoid biosynthesis	KEGG PATHWAY	ath00940	46	306	0.0883510873248	0.999997412981	Barthea30175|Barthea12498|Barthea20870|Barthea17419|Barthea44791|Barthea25324|Barthea25719|Barthea30893|Barthea19325|Barthea41845|Barthea37849|Barthea46120|Barthea27739|Barthea19543|Barthea35261|Barthea10180|Barthea10185|Barthea21108|Barthea20867|Barthea17301|Barthea24464|Barthea19584|Barthea19585|Barthea44280|Barthea44897|Barthea42903|Barthea38742|Barthea17813|Barthea22704|Barthea36791|Barthea33261|Barthea10285|Barthea12493|Barthea12492|Barthea21131|Barthea12495|Barthea44081|Barthea24943|Barthea37386|Barthea17136|Barthea10166|Barthea46117|Barthea46116|Barthea37521|Barthea31209|Barthea43305	http://www.genome.jp/kegg-bin/show_pathway?ath00940/ath:AT5G54160%09red/ath:AT5G48930%09red/ath:AT5G06720%09red/ath:AT4G26010%09red/ath:AT2G18980%09red/ath:AT3G18080%09red/ath:AT3G53260%09red/ath:AT4G31760%09red/ath:AT3G24503%09red/ath:AT4G33870%09red/ath:AT4G36220%09red/ath:AT5G39580%09red/ath:AT2G22420%09red/ath:AT5G64120%09red/ath:AT1G15950%09red/ath:AT2G37040%09red/ath:AT4G26220%09red/ath:AT2G30490%09red/ath:AT3G01190%09red/ath:AT1G68850%09red/ath:AT2G34790%09red/ath:AT5G44640%09red/ath:AT4G25980%09red/ath:AT5G05340%09red
Plant-pathogen interaction	KEGG PATHWAY	ath04626	52	360	0.116652826011	0.999997412981	Barthea26991|Barthea36379|Barthea39777|Barthea39779|Barthea29141|Barthea25084|Barthea21366|Barthea31661|Barthea24351|Barthea38290|Barthea24339|Barthea26438|Barthea13468|Barthea13335|Barthea25056|Barthea20579|Barthea10460|Barthea10461|Barthea36681|Barthea20802|Barthea38368|Barthea17481|Barthea13933|Barthea14677|Barthea37789|Barthea45017|Barthea25159|Barthea39494|Barthea24772|Barthea17441|Barthea17440|Barthea06516|Barthea26867|Barthea24372|Barthea39603|Barthea30081|Barthea10356|Barthea30085|Barthea10373|Barthea01848|Barthea33206|Barthea36795|Barthea09692|Barthea20971|Barthea39782|Barthea09263|Barthea13902|Barthea44992|Barthea42257|Barthea28935|Barthea27367|Barthea33529	http://www.genome.jp/kegg-bin/show_pathway?ath04626/ath:AT2G28260%09red/ath:AT3G21220%09red/ath:AT3G21630%09red/ath:AT5G12180%09red/ath:AT2G38470%09red/ath:AT4G14640%09red/ath:AT4G04720%09red/ath:AT1G80460%09red/ath:AT3G50770%09red/ath:AT4G20780%09red/ath:AT2G43790%09red/ath:AT1G18890%09red/ath:AT1G18210%09red/ath:AT2G31500%09red/ath:AT3G07040%09red/ath:AT1G50060%09red/ath:AT2G04030%09red/ath:AT3G59350%09red/ath:AT5G20480%09red/ath:AT2G38910%09red/ath:AT2G14610%09red/ath:AT3G25070%09red/ath:AT3G10660%09red/ath:AT3G43810%09red/ath:AT4G01250%09red/ath:AT1G64060%09red/ath:AT2G26250%09red/ath:AT1G18530%09red/ath:AT4G08500%09red/ath:AT3G51850%09red/ath:AT4G01370%09red/ath:AT5G56010%09red/ath:AT2G43290%09red/ath:AT1G35670%09red/ath:AT5G04870%09red/ath:AT3G03430%09red
Phenylalanine, tyrosine and tryptophan biosynthesis	KEGG PATHWAY	ath00400	19	115	0.122571536565	0.999997412981	Barthea35227|Barthea12205|Barthea41353|Barthea10572|Barthea29094|Barthea12702|Barthea29378|Barthea35015|Barthea35016|Barthea46400|Barthea07579|Barthea42835|Barthea28316|Barthea17841|Barthea19713|Barthea35160|Barthea10382|Barthea01767|Barthea29256	http://www.genome.jp/kegg-bin/show_pathway?ath00400/ath:AT1G48850%09red/ath:AT4G31990%09red/ath:AT1G08250%09red/ath:AT5G11520%09red/ath:AT5G34930%09red/ath:AT2G21940%09red/ath:AT3G29200%09red/ath:AT1G22410%09red/ath:AT2G30970%09red/ath:AT5G66120%09red/ath:AT2G27820%09red/ath:AT1G11790%09red/ath:AT5G48220%09red
Cutin, suberine and wax biosynthesis	KEGG PATHWAY	ath00073	11	60	0.13269346383	0.999997412981	Barthea30732|Barthea12041|Barthea22856|Barthea12043|Barthea13815|Barthea12039|Barthea11726|Barthea31835|Barthea09276|Barthea11728|Barthea24100	http://www.genome.jp/kegg-bin/show_pathway?ath00073/ath:AT5G23190%09red/ath:AT5G41040%09red/ath:AT3G11980%09red/ath:AT1G70670%09red
Sesquiterpenoid and triterpenoid biosynthesis	KEGG PATHWAY	ath00909	7	35	0.155885894477	0.999997412981	Barthea23731|Barthea27026|Barthea00287|Barthea21055|Barthea07344|Barthea15925|Barthea36953	http://www.genome.jp/kegg-bin/show_pathway?ath00909/ath:AT4G33360%09red/ath:AT1G58440%09red/ath:AT5G23960%09red/ath:AT4G37760%09red
Pentose and glucuronate interconversions	KEGG PATHWAY	ath00040	25	168	0.180640512995	0.999997412981	Barthea10209|Barthea11103|Barthea44650|Barthea24135|Barthea44868|Barthea38935|Barthea21024|Barthea42508|Barthea22881|Barthea23018|Barthea46415|Barthea20900|Barthea22683|Barthea16420|Barthea36365|Barthea42636|Barthea02552|Barthea31944|Barthea44660|Barthea41232|Barthea38926|Barthea44670|Barthea18755|Barthea19419|Barthea21942	http://www.genome.jp/kegg-bin/show_pathway?ath00040/ath:AT2G43870%09red/ath:AT5G15490%09red/ath:AT5G57655%09red/ath:AT1G14420%09red/ath:AT4G02320%09red/ath:AT3G05610%09red/ath:AT5G27870%09red/ath:AT2G45220%09red/ath:AT5G63180%09red/ath:AT2G43890%09red/ath:AT3G59850%09red/ath:AT1G02810%09red/ath:AT5G19730%09red/ath:AT5G44840%09red/ath:AT3G29090%09red
Flavone and flavonol biosynthesis	KEGG PATHWAY	ath00944	5	24	0.192121294194	0.999997412981	Barthea43550|Barthea08216|Barthea25585|Barthea10333|Barthea19124	http://www.genome.jp/kegg-bin/show_pathway?ath00944/ath:AT5G17050%09red/ath:AT5G07990%09red
