##Databases: KEGG PATHWAY, Gene Ontology								
##Statistical test method: hypergeometric test / Fisher's exact test								
##FDR correction method: Benjamini and Hochberg								
								
#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Propanoate metabolism	KEGG PATHWAY	ath00640	3	93	0.0690759712334	0.370455379971	Barthea13823|Barthea29182|Barthea29181	http://www.genome.jp/kegg-bin/show_pathway?ath00640/ath:AT2G20420%09red/ath:AT5G09300%09red
Homologous recombination	KEGG PATHWAY	ath03440	3	118	0.117036033275	0.415653978578	Barthea12167|Barthea20856|Barthea12166	http://www.genome.jp/kegg-bin/show_pathway?ath03440/ath:AT2G21800%09red/ath:AT2G22140%09red/ath:AT5G01630%09red
Metabolic pathways	KEGG PATHWAY	ath01100	51	4349	0.121794742761	0.418268787639	Barthea39511|Barthea29164|Barthea29166|Barthea29169|Barthea29168|Barthea30123|Barthea12181|Barthea13812|Barthea12182|Barthea12146|Barthea12162|Barthea22900|Barthea22844|Barthea13823|Barthea29188|Barthea25073|Barthea29182|Barthea29181|Barthea22848|Barthea30101|Barthea30100|Barthea22881|Barthea30102|Barthea30107|Barthea30109|Barthea22889|Barthea13805|Barthea30125|Barthea41265|Barthea29175|Barthea20967|Barthea41244|Barthea13806|Barthea41248|Barthea29170|Barthea22837|Barthea39533|Barthea39535|Barthea25084|Barthea12156|Barthea22838|Barthea22912|Barthea37797|Barthea30117|Barthea30112|Barthea30113|Barthea41232|Barthea41251|Barthea25101|Barthea30118|Barthea41252	http://www.genome.jp/kegg-bin/show_pathway?ath01100/ath:ArthCp039%09red/ath:AT3G15730%09red/ath:ArthCp030%09red/ath:AT1G80860%09red/ath:ArthCp075%09red/ath:AT3G21160%09red/ath:AT1G80460%09red/ath:AT2G20420%09red/ath:ArthMp015%09red/ath:AT5G49720%09red/ath:AT3G27540%09red/ath:AT1G64390%09red/ath:AT3G01910%09red/ath:ArthCp053%09red/ath:AT1G30820%09red/ath:AT5G13930%09red/ath:AT4G24780%09red/ath:AT1G16040%09red/ath:AT5G09300%09red/ath:AT1G04620%09red/ath:AT2G33150%09red/ath:AT5G13280%09red/ath:AT5G40870%09red/ath:ArthCp021%09red/ath:AT5G49810%09red/ath:AT1G31910%09red/ath:AT1G77330%09red/ath:AT3G27060%09red/ath:ArthCp049%09red/ath:AT1G12840%09red/ath:ArthCp009%09red/ath:AT1G44170%09red/ath:AT1G08250%09red/ath:AT4G29840%09red/ath:AT1G21430%09red/ath:AT3G01820%09red/ath:AT3G05610%09red/ath:AT5G63180%09red/ath:AT1G17745%09red/ath:AT5G49160%09red
Cutin, suberine and wax biosynthesis	KEGG PATHWAY	ath00073	2	60	0.124226412643	0.424756686025	Barthea13815|Barthea22856	http://www.genome.jp/kegg-bin/show_pathway?ath00073/ath:AT5G41040%09red/ath:AT3G11980%09red
Spliceosome	KEGG PATHWAY	ath03040	6	369	0.166032812605	0.468489891749	Barthea25079|Barthea25078|Barthea39520|Barthea25080|Barthea37803|Barthea39522	http://www.genome.jp/kegg-bin/show_pathway?ath03040/ath:AT3G26560%09red/ath:AT1G80070%09red
Monobactam biosynthesis	KEGG PATHWAY	ath00261	1	19	0.179270748174	0.475827104475	Barthea12181	http://www.genome.jp/kegg-bin/show_pathway?ath00261/ath:AT5G13280%09red
Limonene and pinene degradation	KEGG PATHWAY	ath00903	1	19	0.179270748174	0.475827104475	Barthea29164	http://www.genome.jp/kegg-bin/show_pathway?ath00903/ath:AT1G44170%09red
Flavonoid biosynthesis	KEGG PATHWAY	ath00941	2	81	0.196445825218	0.477282014522	Barthea13806|Barthea13805	http://www.genome.jp/kegg-bin/show_pathway?ath00941/ath:AT5G13930%09red
Lysine biosynthesis	KEGG PATHWAY	ath00300	1	22	0.203242136025	0.477282014522	Barthea12181	http://www.genome.jp/kegg-bin/show_pathway?ath00300/ath:AT5G13280%09red
Circadian rhythm - plant	KEGG PATHWAY	ath04712	2	85	0.21076575776	0.486096445658	Barthea13806|Barthea13805	http://www.genome.jp/kegg-bin/show_pathway?ath04712/ath:AT5G13930%09red
Cysteine and methionine metabolism	KEGG PATHWAY	ath00270	4	238	0.21570884455	0.492654716291	Barthea39533|Barthea41248|Barthea29175|Barthea12181	http://www.genome.jp/kegg-bin/show_pathway?ath00270/ath:AT1G17745%09red/ath:AT1G77330%09red/ath:AT5G49160%09red/ath:AT5G13280%09red
Ribosome biogenesis in eukaryotes	KEGG PATHWAY	ath03008	3	161	0.218957651685	0.492654716291	Barthea20845|Barthea20846|Barthea39559	http://www.genome.jp/kegg-bin/show_pathway?ath03008/ath:AT3G51270%09red/ath:AT5G25800%09red
Pentose and glucuronate interconversions	KEGG PATHWAY	ath00040	3	168	0.237031224526	0.508480681654	Barthea41232|Barthea22881|Barthea22900	http://www.genome.jp/kegg-bin/show_pathway?ath00040/ath:AT4G24780%09red/ath:AT5G63180%09red/ath:AT3G05610%09red
Fatty acid degradation	KEGG PATHWAY	ath00071	2	96	0.250568001251	0.517664234775	Barthea29164|Barthea41244	http://www.genome.jp/kegg-bin/show_pathway?ath00071/ath:AT2G33150%09red/ath:AT1G44170%09red
N-Glycan biosynthesis	KEGG PATHWAY	ath00510	2	103	0.276025360094	0.54055177115	Barthea39535|Barthea22912	http://www.genome.jp/kegg-bin/show_pathway?ath00510/ath:AT3G27540%09red/ath:AT3G21160%09red
Selenocompound metabolism	KEGG PATHWAY	ath00450	1	35	0.299302966402	0.559317953921	Barthea12182	http://www.genome.jp/kegg-bin/show_pathway?ath00450/ath:AT5G49810%09red
Biosynthesis of unsaturated fatty acids	KEGG PATHWAY	ath01040	1	36	0.306194794811	0.566786109543	Barthea41244	http://www.genome.jp/kegg-bin/show_pathway?ath01040/ath:AT2G33150%09red
Histidine metabolism	KEGG PATHWAY	ath00340	1	39	0.326467181703	0.568433436041	Barthea29164	http://www.genome.jp/kegg-bin/show_pathway?ath00340/ath:AT1G44170%09red
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	KEGG PATHWAY	ath00563	1	43	0.35258076142	0.583659061717	Barthea37797	http://www.genome.jp/kegg-bin/show_pathway?ath00563/ath:AT1G16040%09red
Thiamine metabolism	KEGG PATHWAY	ath00730	1	43	0.35258076142	0.583659061717	Barthea22837	http://www.genome.jp/kegg-bin/show_pathway?ath00730/ath:AT3G01820%09red
Glycerolipid metabolism	KEGG PATHWAY	ath00561	2	157	0.464136128304	0.655990231882	Barthea29164|Barthea25084	http://www.genome.jp/kegg-bin/show_pathway?ath00561/ath:AT1G80460%09red/ath:AT1G44170%09red
Sulfur metabolism	KEGG PATHWAY	ath00920	1	66	0.484287091237	0.664092456109	Barthea22844	http://www.genome.jp/kegg-bin/show_pathway?ath00920/ath:AT3G01910%09red
Oxidative phosphorylation	KEGG PATHWAY	ath00190	3	263	0.486332633968	0.665228131871	Barthea12162|Barthea22889|Barthea30113	http://www.genome.jp/kegg-bin/show_pathway?ath00190/ath:AT1G12840%09red/ath:ArthCp009%09red/ath:ArthMp015%09red
Base excision repair	KEGG PATHWAY	ath03410	1	67	0.489363223445	0.665228131871	Barthea20985	http://www.genome.jp/kegg-bin/show_pathway?ath03410/ath:AT3G07930%09red
Ether lipid metabolism	KEGG PATHWAY	ath00565	1	70	0.504294502641	0.676134581452	Barthea25073	http://www.genome.jp/kegg-bin/show_pathway?ath00565/ath:AT3G15730%09red
Biosynthesis of amino acids	KEGG PATHWAY	ath01230	5	474	0.508119210877	0.67803294853	Barthea39533|Barthea41251|Barthea12181|Barthea13812|Barthea41252	http://www.genome.jp/kegg-bin/show_pathway?ath01230/ath:AT1G17745%09red/ath:AT1G08250%09red/ath:AT4G29840%09red/ath:AT5G13280%09red
Lysine degradation	KEGG PATHWAY	ath00310	1	73	0.518790209868	0.687331191754	Barthea29164	http://www.genome.jp/kegg-bin/show_pathway?ath00310/ath:AT1G44170%09red
Peroxisome	KEGG PATHWAY	ath04146	2	177	0.526499405136	0.694021943134	Barthea13815|Barthea41244	http://www.genome.jp/kegg-bin/show_pathway?ath04146/ath:AT2G33150%09red/ath:AT3G11980%09red
alpha-Linolenic acid metabolism	KEGG PATHWAY	ath00592	1	83	0.564123460643	0.730096974684	Barthea41244	http://www.genome.jp/kegg-bin/show_pathway?ath00592/ath:AT2G33150%09red
Purine metabolism	KEGG PATHWAY	ath00230	2	195	0.578287213374	0.74107837655	Barthea22837|Barthea22848	http://www.genome.jp/kegg-bin/show_pathway?ath00230/ath:AT3G01820%09red/ath:AT3G27060%09red
Basal transcription factors	KEGG PATHWAY	ath03022	1	94	0.609083911739	0.76289526431	Barthea41268	http://www.genome.jp/kegg-bin/show_pathway?ath03022/ath:AT1G05055%09red
Protein export	KEGG PATHWAY	ath03060	1	95	0.612934245489	0.76289526431	Barthea22910	http://www.genome.jp/kegg-bin/show_pathway?ath03060/ath:AT1G23465%09red
Ascorbate and aldarate metabolism	KEGG PATHWAY	ath00053	1	95	0.612934245489	0.76289526431	Barthea29164	http://www.genome.jp/kegg-bin/show_pathway?ath00053/ath:AT1G44170%09red
Endocytosis	KEGG PATHWAY	ath04144	3	333	0.643301804224	0.776125289225	Barthea25073|Barthea25067|Barthea29247	http://www.genome.jp/kegg-bin/show_pathway?ath04144/ath:AT1G03950%09red/ath:AT3G15730%09red/ath:AT4G19003%09red
Porphyrin and chlorophyll metabolism	KEGG PATHWAY	ath00860	1	106	0.652870758607	0.779075800893	Barthea41265	http://www.genome.jp/kegg-bin/show_pathway?ath00860/ath:AT1G04620%09red
Glycerophospholipid metabolism	KEGG PATHWAY	ath00564	2	225	0.655123636697	0.779075800893	Barthea25073|Barthea39511	http://www.genome.jp/kegg-bin/show_pathway?ath00564/ath:AT3G15730%09red/ath:AT1G80860%09red
Terpenoid backbone biosynthesis	KEGG PATHWAY	ath00900	1	107	0.656290791926	0.779075800893	Barthea20967	http://www.genome.jp/kegg-bin/show_pathway?ath00900/ath:AT1G31910%09red
beta-Alanine metabolism	KEGG PATHWAY	ath00410	1	108	0.659677210718	0.779075800893	Barthea29164	http://www.genome.jp/kegg-bin/show_pathway?ath00410/ath:AT1G44170%09red
2-Oxocarboxylic acid metabolism	KEGG PATHWAY	ath01210	1	108	0.659677210718	0.779075800893	Barthea12181	http://www.genome.jp/kegg-bin/show_pathway?ath01210/ath:AT5G13280%09red
RNA degradation	KEGG PATHWAY	ath03018	2	228	0.662159759638	0.779929337915	Barthea13814|Barthea39508	http://www.genome.jp/kegg-bin/show_pathway?ath03018/ath:AT2G32070%09red/ath:AT3G58560%09red
Ubiquitin mediated proteolysis	KEGG PATHWAY	ath04120	2	231	0.669080227136	0.785442005769	Barthea29242|Barthea13798	http://www.genome.jp/kegg-bin/show_pathway?ath04120/ath:AT3G61790%09red/ath:AT4G33270%09red
Citrate cycle (TCA cycle)	KEGG PATHWAY	ath00020	1	112	0.67289328432	0.788735691052	Barthea13823	http://www.genome.jp/kegg-bin/show_pathway?ath00020/ath:AT2G20420%09red
Phenylalanine, tyrosine and tryptophan biosynthesis	KEGG PATHWAY	ath00400	1	115	0.682468219097	0.7913922227	Barthea13812	http://www.genome.jp/kegg-bin/show_pathway?ath00400/ath:AT1G08250%09red
Aminoacyl-tRNA biosynthesis	KEGG PATHWAY	ath00970	1	115	0.682468219097	0.7913922227	Barthea22830	http://www.genome.jp/kegg-bin/show_pathway?ath00970/ath:AT5G27470%09red
Nucleotide excision repair	KEGG PATHWAY	ath03420	1	117	0.68869565958	0.794180709059	Barthea41268	http://www.genome.jp/kegg-bin/show_pathway?ath03420/ath:AT1G05055%09red
Arginine and proline metabolism	KEGG PATHWAY	ath00330	1	125	0.712410545476	0.809604437021	Barthea29164	http://www.genome.jp/kegg-bin/show_pathway?ath00330/ath:AT1G44170%09red
Carbon fixation in photosynthetic organisms	KEGG PATHWAY	ath00710	1	142	0.756989486621	0.850391345803	Barthea30100	http://www.genome.jp/kegg-bin/show_pathway?ath00710/ath:ArthCp030%09red
Starch and sucrose metabolism	KEGG PATHWAY	ath00500	2	280	0.766532332489	0.858647805921	Barthea12156|Barthea12146	http://www.genome.jp/kegg-bin/show_pathway?ath00500/ath:AT5G49720%09red/ath:AT1G64390%09red
Glyoxylate and dicarboxylate metabolism	KEGG PATHWAY	ath00630	1	149	0.773276431275	0.862500634884	Barthea30100	http://www.genome.jp/kegg-bin/show_pathway?ath00630/ath:ArthCp030%09red
Fatty acid metabolism	KEGG PATHWAY	ath01212	1	160	0.796697919735	0.882340128928	Barthea41244	http://www.genome.jp/kegg-bin/show_pathway?ath01212/ath:AT2G33150%09red
Glutathione metabolism	KEGG PATHWAY	ath00480	1	174	0.823048629678	0.896310260136	Barthea22848	http://www.genome.jp/kegg-bin/show_pathway?ath00480/ath:AT3G27060%09red
Plant hormone signal transduction	KEGG PATHWAY	ath04075	4	582	0.829238681188	0.899299012978	Barthea37805|Barthea12174|Barthea25076|Barthea25056	http://www.genome.jp/kegg-bin/show_pathway?ath04075/ath:AT1G75080%09red/ath:AT3G21220%09red/ath:AT1G80100%09red/ath:AT4G39400%09red
Biosynthesis of secondary metabolites	KEGG PATHWAY	ath01110	18	2212	0.834874344644	0.902909684885	Barthea39511|Barthea41265|Barthea29175|Barthea29164|Barthea20967|Barthea41244|Barthea30100|Barthea25073|Barthea13806|Barthea13805|Barthea12181|Barthea29182|Barthea13812|Barthea22837|Barthea29181|Barthea41251|Barthea13823|Barthea41252	http://www.genome.jp/kegg-bin/show_pathway?ath01110/ath:AT1G08250%09red/ath:AT1G04620%09red/ath:AT2G33150%09red/ath:AT5G13280%09red/ath:AT3G01820%09red/ath:AT3G15730%09red/ath:ArthCp030%09red/ath:AT1G31910%09red/ath:AT1G44170%09red/ath:AT1G77330%09red/ath:AT1G80860%09red/ath:AT5G13930%09red/ath:AT2G20420%09red/ath:AT4G29840%09red/ath:AT5G09300%09red
Phagosome	KEGG PATHWAY	ath04145	1	184	0.839757120697	0.905688464884	Barthea22889	http://www.genome.jp/kegg-bin/show_pathway?ath04145/ath:AT1G12840%09red
Pyruvate metabolism	KEGG PATHWAY	ath00620	1	192	0.851983156723	0.917610470033	Barthea29164	http://www.genome.jp/kegg-bin/show_pathway?ath00620/ath:AT1G44170%09red
Carbon metabolism	KEGG PATHWAY	ath01200	3	534	0.899469967772	0.94661960318	Barthea39533|Barthea30100|Barthea13823	http://www.genome.jp/kegg-bin/show_pathway?ath01200/ath:AT1G17745%09red/ath:AT2G20420%09red/ath:ArthCp030%09red
Glycolysis / Gluconeogenesis	KEGG PATHWAY	ath00010	1	250	0.916780952566	0.958397177382	Barthea29164	http://www.genome.jp/kegg-bin/show_pathway?ath00010/ath:AT1G44170%09red
Protein processing in endoplasmic reticulum	KEGG PATHWAY	ath04141	2	422	0.921934310531	0.95866476115	Barthea39535|Barthea41270	http://www.genome.jp/kegg-bin/show_pathway?ath04141/ath:AT3G44340%09red/ath:AT3G21160%09red
MAPK signaling pathway - plant	KEGG PATHWAY	ath04016	1	271	0.932455896743	0.964381926489	Barthea25056	http://www.genome.jp/kegg-bin/show_pathway?ath04016/ath:AT3G21220%09red
								
--------------------								
								
#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
								
--------------------								
								
#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
response to hydroxyurea	Gene Ontology	GO:0072710	9	14	5.70E-13	4.40E-10	Barthea21011|Barthea21010|Barthea20955|Barthea20961|Barthea21002|Barthea21003|Barthea20957|Barthea21007|Barthea21005	http://amigo.geneontology.org/amigo/term/GO:0072710
response to cisplatin	Gene Ontology	GO:0072718	9	16	1.40E-12	5.45E-10	Barthea21011|Barthea21010|Barthea20955|Barthea20961|Barthea21002|Barthea21003|Barthea20957|Barthea21007|Barthea21005	http://amigo.geneontology.org/amigo/term/GO:0072718
cell cycle arrest	Gene Ontology	GO:0007050	10	28	2.79E-12	5.46E-10	Barthea21011|Barthea21010|Barthea20955|Barthea20961|Barthea21002|Barthea41242|Barthea20957|Barthea21007|Barthea21005|Barthea21003	http://amigo.geneontology.org/amigo/term/GO:0007050
response to ionizing radiation	Gene Ontology	GO:0010212	9	26	4.42E-11	6.91E-09	Barthea21011|Barthea21010|Barthea20955|Barthea20961|Barthea21002|Barthea21003|Barthea20957|Barthea21007|Barthea21005	http://amigo.geneontology.org/amigo/term/GO:0010212
response to gamma radiation	Gene Ontology	GO:0010332	9	41	1.38E-09	1.80E-07	Barthea21011|Barthea21010|Barthea20955|Barthea20961|Barthea21002|Barthea21003|Barthea20957|Barthea21007|Barthea21005	http://amigo.geneontology.org/amigo/term/GO:0010332
response to aluminum ion	Gene Ontology	GO:0010044	9	62	3.41E-08	3.81E-06	Barthea21011|Barthea21010|Barthea20955|Barthea20961|Barthea21002|Barthea21003|Barthea20957|Barthea21007|Barthea21005	http://amigo.geneontology.org/amigo/term/GO:0010044
response to UV-B	Gene Ontology	GO:0010224	13	194	1.66E-07	1.62E-05	Barthea21011|Barthea21010|Barthea20955|Barthea29229|Barthea21002|Barthea21003|Barthea20957|Barthea21007|Barthea13806|Barthea13805|Barthea20961|Barthea12174|Barthea21005	http://amigo.geneontology.org/amigo/term/GO:0010224
regulation of anatomical structure morphogenesis	Gene Ontology	GO:0022603	5	15	1.23E-06	1.07E-04	Barthea29169|Barthea29168|Barthea29188|Barthea29170|Barthea29166	http://amigo.geneontology.org/amigo/term/GO:0022603
cellularization	Gene Ontology	GO:0007349	4	8	4.28E-06	3.35E-04	Barthea20980|Barthea20992|Barthea20979|Barthea20972	http://amigo.geneontology.org/amigo/term/GO:0007349
cellular response to DNA damage stimulus	Gene Ontology	GO:0006974	9	122	6.45E-06	4.59E-04	Barthea21011|Barthea21010|Barthea20955|Barthea20961|Barthea21002|Barthea21003|Barthea20957|Barthea21007|Barthea21005	http://amigo.geneontology.org/amigo/term/GO:0006974
endosperm cellularization	Gene Ontology	GO:0010342	4	10	8.51E-06	5.55E-04	Barthea20980|Barthea20992|Barthea20979|Barthea20972	http://amigo.geneontology.org/amigo/term/GO:0010342
radial microtubular system formation	Gene Ontology	GO:0010245	4	11	1.15E-05	6.94E-04	Barthea20980|Barthea20992|Barthea20979|Barthea20972	http://amigo.geneontology.org/amigo/term/GO:0010245
indole-3-pyruvate monooxygenase activity	Gene Ontology	GO:0103075	5	32	3.01E-05	1.65E-03	Barthea29169|Barthea29168|Barthea29188|Barthea29170|Barthea29166	http://amigo.geneontology.org/amigo/term/GO:0103075
plastid small ribosomal subunit	Gene Ontology	GO:0000312	4	15	3.17E-05	1.65E-03	Barthea20993|Barthea20969|Barthea20971|Barthea20970	http://amigo.geneontology.org/amigo/term/GO:0000312
sucrose:proton symporter activity	Gene Ontology	GO:0008506	4	17	4.82E-05	2.34E-03	Barthea20988|Barthea22883|Barthea22903|Barthea20987	http://amigo.geneontology.org/amigo/term/GO:0008506
carbohydrate transmembrane transport	Gene Ontology	GO:0034219	3	5	5.09E-05	2.34E-03	Barthea20988|Barthea22883|Barthea22903	http://amigo.geneontology.org/amigo/term/GO:0034219
phragmoplast assembly	Gene Ontology	GO:0000914	4	18	5.84E-05	2.54E-03	Barthea20980|Barthea20992|Barthea20979|Barthea20972	http://amigo.geneontology.org/amigo/term/GO:0000914
threonine-type endopeptidase activity	Gene Ontology	GO:0004298	3	6	7.57E-05	2.95E-03	Barthea22906|Barthea22904|Barthea22905	http://amigo.geneontology.org/amigo/term/GO:0004298
auxin biosynthetic process	Gene Ontology	GO:0009851	6	66	7.85E-05	2.95E-03	Barthea29170|Barthea29188|Barthea29169|Barthea29168|Barthea29166|Barthea22831	http://amigo.geneontology.org/amigo/term/GO:0009851
N,N-dimethylaniline monooxygenase activity	Gene Ontology	GO:0004499	5	40	7.91E-05	2.95E-03	Barthea29169|Barthea29168|Barthea29188|Barthea29170|Barthea29166	http://amigo.geneontology.org/amigo/term/GO:0004499
spliceosomal complex disassembly	Gene Ontology	GO:0000390	3	7	1.07E-04	3.82E-03	Barthea39520|Barthea39522|Barthea37803	http://amigo.geneontology.org/amigo/term/GO:0000390
sucrose transmembrane transporter activity	Gene Ontology	GO:0008515	4	22	1.16E-04	3.94E-03	Barthea20988|Barthea22883|Barthea22903|Barthea20987	http://amigo.geneontology.org/amigo/term/GO:0008515
sucrose transport	Gene Ontology	GO:0015770	4	23	1.35E-04	4.40E-03	Barthea20988|Barthea22883|Barthea22903|Barthea20987	http://amigo.geneontology.org/amigo/term/GO:0015770
nucleotide binding	Gene Ontology	GO:0000166	4	27	2.34E-04	7.34E-03	Barthea20993|Barthea20969|Barthea20971|Barthea20970	http://amigo.geneontology.org/amigo/term/GO:0000166
mitochondrial small ribosomal subunit	Gene Ontology	GO:0005763	4	29	3.00E-04	8.71E-03	Barthea20993|Barthea20969|Barthea20971|Barthea20970	http://amigo.geneontology.org/amigo/term/GO:0005763
extrinsic component of plasma membrane	Gene Ontology	GO:0019897	4	29	3.00E-04	8.71E-03	Barthea20993|Barthea20969|Barthea20971|Barthea20970	http://amigo.geneontology.org/amigo/term/GO:0019897
nutrient reservoir activity	Gene Ontology	GO:0045735	7	130	4.33E-04	1.21E-02	Barthea13822|Barthea29222|Barthea29223|Barthea20828|Barthea12154|Barthea20827|Barthea20825	http://amigo.geneontology.org/amigo/term/GO:0045735
threonine biosynthetic process	Gene Ontology	GO:0009088	3	14	5.78E-04	1.56E-02	Barthea41251|Barthea12181|Barthea41252	http://amigo.geneontology.org/amigo/term/GO:0009088
ADP binding	Gene Ontology	GO:0043531	7	160	1.39E-03	3.62E-02	Barthea20969|Barthea20993|Barthea12158|Barthea20987|Barthea12143|Barthea20971|Barthea20970	http://amigo.geneontology.org/amigo/term/GO:0043531
cotyledon morphogenesis	Gene Ontology	GO:0048826	3	22	0.00184533877389	0.0450964127233	Barthea41266|Barthea41267|Barthea29233	http://amigo.geneontology.org/amigo/term/GO:0048826
Holliday junction resolvase complex	Gene Ontology	GO:0048476	2	5	0.00195820949245	0.0450964127233	Barthea12167|Barthea12166	http://amigo.geneontology.org/amigo/term/GO:0048476
oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor	Gene Ontology	GO:0016624	2	5	0.00195820949245	0.0450964127233	Barthea29182|Barthea29181	http://amigo.geneontology.org/amigo/term/GO:0016624
proteasome core complex, beta-subunit complex	Gene Ontology	GO:0019774	3	23	0.00207093238255	0.0461660701427	Barthea22906|Barthea22904|Barthea22905	http://amigo.geneontology.org/amigo/term/GO:0019774
kinase activity	Gene Ontology	GO:0016301	15	633	0.00212257793759	0.0461660701427	Barthea39505|Barthea12174|Barthea20979|Barthea29246|Barthea20992|Barthea20968|Barthea39556|Barthea39551|Barthea20980|Barthea20981|Barthea41259|Barthea20966|Barthea22916|Barthea22838|Barthea20972	http://amigo.geneontology.org/amigo/term/GO:0016301
proteasome core complex	Gene Ontology	GO:0005839	4	53	0.00240787976957	0.0509559421505	Barthea37782|Barthea22906|Barthea22904|Barthea22905	http://amigo.geneontology.org/amigo/term/GO:0005839
translation	Gene Ontology	GO:0006412	12	460	0.00272218028815	0.0548508726122	Barthea13825|Barthea41254|Barthea20969|Barthea13810|Barthea20993|Barthea30114|Barthea22833|Barthea30106|Barthea30122|Barthea30099|Barthea20971|Barthea20970	http://amigo.geneontology.org/amigo/term/GO:0006412
proteasomal ubiquitin-independent protein catabolic process	Gene Ontology	GO:0010499	4	55	0.00273203580061	0.0548508726122	Barthea37782|Barthea22906|Barthea22904|Barthea22905	http://amigo.geneontology.org/amigo/term/GO:0010499
sugar transmembrane transporter activity	Gene Ontology	GO:0051119	3	26	0.002847760474	0.0554744831849	Barthea20988|Barthea22883|Barthea22903	http://amigo.geneontology.org/amigo/term/GO:0051119
microsporogenesis	Gene Ontology	GO:0009556	4	56	0.00290479413867	0.0554744831849	Barthea20980|Barthea20992|Barthea20979|Barthea20972	http://amigo.geneontology.org/amigo/term/GO:0009556
