			Million years bins:
Rname	Rclass	Rfam	[0;0.3[	[0.3;0.6[	[0.6;0.9[	[0.9;1.2[	[1.2;1.5[	[1.5;1.8[	[1.8;2.1[	[2.1;2.4[	[2.4;2.7[	[2.7;3[	[3;3.3[	[3.3;3.6[	[3.6;3.9[	[3.9;4.2[	[4.2;4.5[	[4.5;4.8[	[4.8;5.1[	[5.1;5.4[	[5.4;5.7[	[5.7;6[	[6;6.3[	[6.3;6.6[	[6.6;6.9[	[6.9;7.2[	[7.2;7.5[	[7.5;7.8[	[7.8;8.1[	[8.1;8.4[	[8.4;8.7[	[8.7;9[	[9;9.3[	[9.3;9.6[	[9.6;9.9[	[9.9;10.2[	[10.2;10.5[	[10.5;10.8[	[10.8;11.1[	[11.1;11.4[	[11.4;11.7[	[11.7;12[	[12;12.3[	[12.3;12.6[	[12.6;12.9[	[12.9;13.2[	[13.2;13.5[	[13.5;13.8[	[13.8;14.1[	[14.1;14.4[	[14.4;14.7[	[14.7;15[	[15;15.3[	[15.3;15.6[	[15.6;15.9[	[15.9;16.2[	[16.2;16.5[	[16.5;16.8[	[16.8;17.1[	[17.1;17.4[	[17.4;17.7[	[17.7;18[	[18;18.3[	[18.3;18.6[	[18.6;18.9[	[18.9;19.2[	[19.2;19.5[	[19.5;19.8[	[19.8;20.1[	[20.1;20.4[	[20.4;20.7[	[20.7;21[	[21;21.3[	[21.3;21.6[	[21.6;21.9[	[21.9;22.2[	[22.2;22.5[	[22.5;22.8[	[22.8;23.1[	[23.1;23.4[	[23.4;23.7[	[23.7;24[	[24;24.3[	[24.3;24.6[	[24.6;24.9[	[24.9;25.2[	[25.2;25.5[	[25.5;25.8[	[25.8;26.1[	[26.1;26.4[	[26.4;26.7[	[26.7;27[	[27;27.3[	[27.3;27.6[	[27.6;27.9[	[27.9;28.2[	[28.2;28.5[	[28.5;28.8[	[28.8;29.1[	[29.1;29.4[	[29.4;29.7[	[29.7;30[
TE_00001026_INT	LTR	Copia	1954	0	47	0	104	113	0	113	58	54	325	58	605	355	222	503	505	195	677	217	1007	464	836	674	1402	1541	2296	2787	4877	2606	4123	4845	3163	1875	1864	191	150	436	59	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000045	Unknown	Unknown	0	0	0	0	54	48	0	562	169	214	148	234	193	145	696	232	222	311	417	119	170	505	161	196	144	0	201	0	332	0	0	0	0	65	0	0	50	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000407	DNA	Helitron	10376	924	201	0	27	0	471	218	29	493	304	2228	1192	1439	520	719	164	88	281	1141	494	473	591	1062	2914	2684	3485	3225	3695	5071	5041	6127	5753	6685	4421	3705	3869	1937	2797	772	2322	908	678	218	265	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000000	LTR	unknown	1075	0	305	0	327	0	104	51	0	3792	1271	1711	3168	4106	4682	4245	10712	6426	11105	9140	8869	7444	9800	6130	6733	5842	6821	4122	5777	3055	2579	712	744	219	155	0	203	354	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000525	DNA	DTC	2968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	384	0	0	69	0	0	80	1205	0	61	675	828	0	563	0	0	0	0	427	79	1047	1297	1211	1750	2105	2326	1229	643	996	1220	562	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000147	Unknown	Unknown	0	0	0	174	135	603	59	311	154	735	148	367	42	457	55	1104	329	176	173	179	172	255	57	120	106	152	340	239	308	178	281	121	105	328	117	197	0	139	94	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000067	Unknown	Unknown	0	0	0	0	0	0	0	0	436	1051	485	639	162	972	204	1285	643	1510	1269	415	891	411	1685	321	437	458	698	427	187	84	0	0	59	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000466	DNA	DTC	3718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	88	0	0	0	45	0	72	0	92	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000501_INT	LTR	unknown	249	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000569_LTR	LTR	Gypsy	359	0	0	0	0	0	0	0	0	0	0	359	0	0	0	714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000239	Unknown	Unknown	4251	2470	55	0	292	134	660	476	296	417	1277	749	849	709	166	23	133	0	330	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000052	Unknown	Unknown	0	0	3116	2378	2052	309	0	0	143	0	652	0	0	287	241	526	432	0	847	534	227	728	536	1010	973	1054	697	102	385	138	208	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000617_INT	LTR	Copia	1454	0	0	0	0	0	0	0	0	0	0	820	64	65	0	0	0	0	0	0	0	0	102	0	0	0	156	0	0	0	0	391	254	95	341	470	0	251	1147	678	287	352	618	380	212	614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000261	Unknown	Unknown	547	1119	0	319	0	0	501	331	0	165	0	82	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000760_INT	LTR	Gypsy	4476	0	0	0	0	0	4511	0	0	0	0	0	0	0	0	0	0	0	4483	56	0	0	0	0	0	0	0	0	0	0	3149	1020	2881	292	1737	9315	5139	4076	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000080	Unknown	Unknown	0	0	0	0	58	0	0	0	0	200	240	80	0	162	256	525	282	401	515	612	319	230	329	287	240	180	245	230	40	477	45	46	0	0	0	113	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000247	Unknown	Unknown	0	0	557	1251	0	1178	1336	2688	2315	817	441	0	494	952	564	0	164	0	57	0	209	422	469	201	206	305	154	157	226	187	229	0	0	0	167	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000397	DNA	Helitron	13630	452	234	0	0	164	0	860	5570	1274	772	0	392	1718	0	42	329	653	655	971	1993	2035	445	1201	757	388	514	764	848	868	943	296	111	617	254	522	56	0	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000623_LTR	LTR	Gypsy	3345	0	668	1862	57	163	1230	666	743	105	84	847	426	689	772	1323	517	2696	984	852	908	36	496	1339	1671	2545	1755	2382	1538	1584	1871	728	617	377	542	512	824	771	1319	476	260	758	528	356	125	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001074_LTR	LTR	Copia	864	0	0	36	52	47	0	266	31	41	1691	12902	31309	40706	19134	15987	4896	1177	4489	13284	24398	27111	9391	11253	6046	2146	6040	8456	8979	12797	15745	15201	12056	13189	9338	10492	7921	3078	2065	2306	679	1514	741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000745	DNA	DTM	1434	0	0	0	0	0	930	70	63	0	0	0	250	0	44	0	197	695	2895	2323	1603	1272	2124	767	1397	1698	613	1171	604	341	1405	2454	899	1721	600	146	519	1356	843	1573	0	501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000683_LTR	LTR	Copia	345	0	345	0	0	690	0	0	0	0	345	0	0	0	344	342	335	333	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000720_INT	LTR	unknown	3465	0	363	81	86	77	170	33	106	0	422	118	172	0	0	0	93	350	201	112	0	68	0	86	81	199	274	639	322	84	353	444	120	120	62	72	72	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000505	DNA	DTH	2796	0	0	0	89	0	0	623	605	133	0	0	131	0	80	86	125	0	0	126	70	0	0	170	153	330	320	202	0	492	85	186	281	425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000289	Unknown	Unknown	0	0	371	0	430	0	0	0	641	0	128	204	54	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000833	DNA	DTM	578	0	0	0	0	51	0	0	0	0	159	34	413	401	0	0	497	269	0	0	383	0	270	151	422	60	169	2	18	11	137	2	0	0	194	27	47	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000291	Unknown	Unknown	0	0	0	67	0	262	79	0	1621	0	510	0	284	277	108	890	2053	0	852	323	458	207	247	0	0	114	656	1670	406	972	1809	641	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000091	Unknown	Unknown	0	6284	897	0	0	1836	0	1821	0	0	0	0	0	35	35	0	0	93	207	120	0	0	27	544	117	501	851	1368	582	1355	147	1101	468	450	32	160	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001030_INT	LTR	Gypsy	4497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	119	0	0	0	72	837	94	3206	6581	9121	4394	2814	2310	7232	1749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000259	Unknown	Unknown	0	0	0	0	141	141	208	0	0	0	0	104	0	0	0	1134	17	784	620	53	0	0	500	0	419	0	332	151	651	811	1418	1042	185	700	752	892	179	268	350	443	305	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000808	DNA	DTC	1550	0	0	108	0	0	0	476	993	107	0	0	0	0	0	53	0	0	55	263	0	0	70	0	0	0	181	0	103	0	298	0	236	57	348	610	199	7	0	103	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000262	Unknown	Unknown	0	0	0	0	0	0	0	76	0	128	122	44	189	201	82	398	313	352	199	117	293	283	221	61	131	107	0	212	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001002_LTR	LTR	Copia	196	0	0	0	196	388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
