Jukes/Cantor and Kimura subsitution levels adjusted for CpG sites
=================================================================
File: bar.genome.fa.align
Weighted average Kimura divergence for each repeat family
Class	Repeat	absLen	wellCharLen	Kimura%
DNA/DTM	TE_00000309	25823	20762	18.12
DNA/DTM	TE_00000310	9854	8259	7.08
DNA/DTM	TE_00000311	6484	5428	13.62
DNA/DTM	TE_00000312	1056	1050	4.03
DNA/DTM	TE_00000313	1877	1862	0.17
DNA/DTM	TE_00000314	7579	7218	8.29
DNA/DTM	TE_00000319	2131	2119	10.11
DNA/DTM	TE_00000321	5348	5211	5.08
DNA/DTM	TE_00000322	6401	6192	14.88
DNA/DTM	TE_00000329	4876	4751	3.37
DNA/DTM	TE_00000330	7208	6974	8.88
DNA/DTM	TE_00000331	3733	3610	4.93
DNA/DTM	TE_00000332	2437	2393	4.27
DNA/DTM	TE_00000334	2955	2892	2.43
DNA/DTM	TE_00000339	9333	9033	11.52
DNA/DTM	TE_00000340	1177	1157	2.66
DNA/DTM	TE_00000344	1347	1164	11.68
DNA/DTM	TE_00000346	9921	9464	10.21
DNA/DTM	TE_00000347	12447	11630	15.17
DNA/DTM	TE_00000352	5229	4933	13.41
DNA/DTM	TE_00000355	3649	3477	6.23
DNA/DTM	TE_00000356	25868	24051	21.38
DNA/DTM	TE_00000359	3061	3007	2.14
DNA/DTM	TE_00000362	1279	1256	3.48
DNA/DTM	TE_00000363	3173	3089	11.39
DNA/DTM	TE_00000364	7144	6085	9.65
DNA/DTM	TE_00000366	4568	3680	8.78
DNA/DTM	TE_00000367	6119	5392	13.75
DNA/DTM	TE_00000368	1627	1602	6.11
DNA/DTM	TE_00000372	2540	2498	5.49
DNA/DTM	TE_00000373	2020	1850	4.30
DNA/DTM	TE_00000374	1548	1532	3.76
DNA/DTM	TE_00000375	1969	1962	1.48
DNA/DTM	TE_00000376	3152	2980	4.22
DNA/DTM	TE_00000385	9747	9318	26.51
DNA/DTM	TE_00000386	2610	2506	4.43
DNA/DTM	TE_00000387	24620	21206	18.35
DNA/DTM	TE_00000389	1835	1814	1.12
DNA/DTM	TE_00000403	12973	11298	12.53
DNA/DTM	TE_00000415	3096	2926	8.68
DNA/DTM	TE_00000416	5351	4188	12.94
DNA/DTM	TE_00000417	9595	7569	11.00
DNA/DTM	TE_00000418	6597	5674	7.83
DNA/DTM	TE_00000419	11404	11052	10.12
DNA/DTM	TE_00000426	10910	8963	9.39
DNA/DTM	TE_00000427	14677	11368	12.88
DNA/DTM	TE_00000428	6743	5268	9.12
DNA/DTM	TE_00000429	2810	2650	6.41
DNA/DTM	TE_00000430	5356	4646	9.97
DNA/DTM	TE_00000431	4075	3818	8.76
DNA/DTM	TE_00000432	3581	3497	5.35
DNA/DTM	TE_00000433	1422	1334	2.52
DNA/DTM	TE_00000434	6971	5615	5.41
DNA/DTM	TE_00000435	2261	2191	3.35
DNA/DTM	TE_00000436	1923	1799	3.93
DNA/DTM	TE_00000437	7582	7040	4.79
DNA/DTM	TE_00000438	3712	2882	8.05
DNA/DTM	TE_00000439	1314	1139	7.47
DNA/DTM	TE_00000440	12322	9597	5.65
DNA/DTM	TE_00000441	2766	2402	6.72
DNA/DTM	TE_00000442	2837	2385	6.97
DNA/DTM	TE_00000443	10045	7419	11.84
DNA/DTM	TE_00000444	3948	3803	2.08
DNA/DTM	TE_00000447	1921	1921	2.60
DNA/DTM	TE_00000452	4554	4370	6.85
DNA/DTM	TE_00000454	36615	33720	22.09
DNA/DTM	TE_00000457	1455	1453	2.31
DNA/DTM	TE_00000458	7283	6911	17.07
DNA/DTM	TE_00000461	3066	2922	7.20
DNA/DTM	TE_00000463	1707	1689	10.35
DNA/DTM	TE_00000467	7442	7059	9.82
DNA/DTM	TE_00000470	2906	2793	7.43
DNA/DTM	TE_00000471	2537	2337	4.57
DNA/DTM	TE_00000472	11397	11141	18.18
DNA/DTM	TE_00000473	7783	7571	14.37
DNA/DTM	TE_00000474	5289	5105	17.50
DNA/DTM	TE_00000479	2172	2127	3.91
DNA/DTM	TE_00000492	18612	18464	15.04
DNA/DTM	TE_00000496	19932	19537	21.49
DNA/DTM	TE_00000500	3545	3426	14.96
DNA/DTM	TE_00000503	23449	23118	20.60
DNA/DTM	TE_00000506	2593	2561	4.55
DNA/DTM	TE_00000508	2758	2670	4.98
DNA/DTM	TE_00000509	35297	34455	23.13
DNA/DTM	TE_00000510	9723	9567	7.22
DNA/DTM	TE_00000511	26654	24619	18.44
DNA/DTM	TE_00000512	10516	9753	19.06
DNA/DTM	TE_00000514	4018	3835	8.12
DNA/DTM	TE_00000515	7793	6898	7.58
DNA/DTM	TE_00000516	8975	7586	9.13
DNA/DTM	TE_00000523	3144	2853	12.71
DNA/DTM	TE_00000528	14490	13249	17.70
DNA/DTM	TE_00000530	173754	170312	22.19
DNA/DTM	TE_00000535	19065	18584	13.82
DNA/DTM	TE_00000551	106828	99858	18.72
DNA/DTM	TE_00000553	24624	23539	14.06
DNA/DTM	TE_00000555	316262	298474	22.49
DNA/DTM	TE_00000560	17315	14262	9.31
DNA/DTM	TE_00000562	21324	20839	15.78
DNA/DTM	TE_00000564	271	263	20.69
DNA/DTM	TE_00000575	80114	78447	31.27
DNA/DTM	TE_00000577	13132	12848	18.05
DNA/DTM	TE_00000581	99749	97733	17.33
DNA/DTM	TE_00000595	2758	2447	2.71
DNA/DTM	TE_00000598	265412	241832	26.16
DNA/DTM	TE_00000604	28964	28400	18.48
DNA/DTM	TE_00000608	17505	16977	19.37
DNA/DTM	TE_00000611	404800	400041	36.00
DNA/DTM	TE_00000634	3487	3477	2.61
DNA/DTM	TE_00000646	22120	20369	27.88
DNA/DTM	TE_00000653	11726	11307	14.75
DNA/DTM	TE_00000654	100686	97798	21.74
DNA/DTM	TE_00000657	2682	2426	11.79
DNA/DTM	TE_00000658	11202	11100	21.20
DNA/DTM	TE_00000660	8680	7595	8.57
DNA/DTM	TE_00000668	39692	37157	22.70
DNA/DTM	TE_00000671	27606	26979	0.29
DNA/DTM	TE_00000672	1316	1125	3.41
DNA/DTM	TE_00000673	5870	5132	11.72
DNA/DTM	TE_00000682	7551	7295	19.64
DNA/DTM	TE_00000690	82249	80294	22.87
DNA/DTM	TE_00000691	3228	3193	13.63
DNA/DTM	TE_00000693	2466	2393	3.40
DNA/DTM	TE_00000694	1075	1031	7.66
DNA/DTM	TE_00000696	136813	135062	14.51
DNA/DTM	TE_00000702	7118	7047	17.49
DNA/DTM	TE_00000703	212984	204648	21.62
DNA/DTM	TE_00000732	31392	30422	1.84
DNA/DTM	TE_00000745	28267	27261	21.28
DNA/DTM	TE_00000747	29570	26426	30.14
DNA/DTM	TE_00000751	117534	108110	11.83
DNA/DTM	TE_00000769	18359	17628	24.69
DNA/DTM	TE_00000771	9510	9266	8.83
DNA/DTM	TE_00000778	1695	1576	7.49
DNA/DTM	TE_00000782	28698	21876	14.47
DNA/DTM	TE_00000788	61346	52199	21.87
DNA/DTM	TE_00000790	22314	21154	15.58
DNA/DTM	TE_00000794	2319	2198	10.86
DNA/DTM	TE_00000797	37736	35692	16.91
DNA/DTM	TE_00000811	12031	11609	19.35
DNA/DTM	TE_00000821	5075	4172	9.34
DNA/DTM	TE_00000825	34564	32800	13.25
DNA/DTM	TE_00000827	8259	7103	14.76
DNA/DTM	TE_00000830	2159	2153	8.75
DNA/DTM	TE_00000833	3689	3038	15.49
DNA/DTM	TE_00000840	5751	5559	16.81
DNA/DTM	TE_00000843	36	31	16.41
DNA/DTM	TE_00000844	6815	6548	9.86
DNA/DTM	TE_00000851	25701	24192	20.33
DNA/DTM	TE_00000852	103394	99070	17.11
DNA/DTM	TE_00000855	123293	117255	20.80
DNA/DTM	TE_00000872	54858	50710	14.48
DNA/DTM	TE_00000877	15532	14947	24.27
DNA/DTM	TE_00000890	92895	87218	17.90
DNA/DTM	TE_00000892	29705	28055	23.29
DNA/DTM	TE_00000894	3789	3170	8.81
DNA/DTM	TE_00000896	51637	47914	8.92
DNA/DTM	TE_00000898	62187	60186	21.46
DNA/DTM	TE_00000901	21375	16367	10.83
DNA/DTM	TE_00000902	22333	21491	24.09
DNA/DTM	TE_00000907	2425	1916	5.93
DNA/DTM	TE_00000909	215247	202125	20.71
DNA/DTM	TE_00000911	7229	6948	18.10
DNA/DTM	TE_00000916	30138	27446	17.55
DNA/DTM	TE_00000925	56155	54194	21.15
DNA/DTM	TE_00000936	4995	4917	3.61
DNA/DTM	TE_00000939	310735	296695	17.45
DNA/DTM	TE_00000962	589556	579591	21.83
DNA/DTM	TE_00000967	12737	10467	11.61
DNA/DTM	TE_00000973	6618	6264	6.45
DNA/DTM	TE_00000976	17335	16757	18.03
DNA/DTM	TE_00000984	77532	74543	7.72
DNA/DTM	TE_00000986	1772	1739	3.49
DNA/DTM	TE_00000989	74075	71417	26.85
DNA/DTM	TE_00000996	163201	157999	41.90
DNA/DTM	TE_00000998	6382	6101	15.28
DNA/DTM	TE_00001011	3223	3169	4.73
DNA/DTM	TE_00001019	20847	19471	23.93
DNA/DTM	TE_00001040	7416	7048	9.83
DNA/DTM	TE_00001046	31644	30839	13.14
DNA/DTM	TE_00001051	135859	132808	16.12
DNA/DTM	TE_00001052	143760	139090	21.65
DNA/DTM	TE_00001061	147495	140376	11.62
DNA/DTM	TE_00001070	33099	31461	19.42
DNA/DTM	TE_00001071	52074	50374	18.45
DNA/DTM	TE_00001072	1009	1007	1.86
DNA/DTT	TE_00000353	1925	1863	1.55
DNA/DTT	TE_00000381	4274	4229	7.21
DNA/DTT	TE_00000393	3260	3255	3.57
DNA/DTT	TE_00000420	5484	5387	5.72
DNA/DTT	TE_00000497	53365	51761	19.41
DNA/DTT	TE_00001036	1221	1203	4.08
DNA/Helitron	TE_00000315	14047	13238	8.22
DNA/Helitron	TE_00000316	14672	14187	7.30
DNA/Helitron	TE_00000324	7471	7070	6.11
DNA/Helitron	TE_00000328	70643	65977	24.81
DNA/Helitron	TE_00000335	29067	28039	6.41
DNA/Helitron	TE_00000336	8706	8652	8.20
DNA/Helitron	TE_00000337	44299	42906	11.81
DNA/Helitron	TE_00000338	16886	16227	7.03
DNA/Helitron	TE_00000341	41237	40140	12.01
DNA/Helitron	TE_00000348	20641	19452	10.38
DNA/Helitron	TE_00000351	15098	14476	12.05
DNA/Helitron	TE_00000354	67030	63861	18.94
DNA/Helitron	TE_00000357	595392	570868	23.44
DNA/Helitron	TE_00000358	31021	30449	5.08
DNA/Helitron	TE_00000360	28391	27849	4.04
DNA/Helitron	TE_00000365	17192	14041	9.40
DNA/Helitron	TE_00000371	45550	44351	15.93
DNA/Helitron	TE_00000378	134737	130281	20.38
DNA/Helitron	TE_00000379	15678	15008	6.85
DNA/Helitron	TE_00000380	16930	16130	6.69
DNA/Helitron	TE_00000382	20072	19560	15.75
DNA/Helitron	TE_00000383	163849	161513	28.83
DNA/Helitron	TE_00000384	18613	17507	16.07
DNA/Helitron	TE_00000396	111703	107334	25.73
DNA/Helitron	TE_00000397	41805	40268	10.41
DNA/Helitron	TE_00000399	117477	111678	20.10
DNA/Helitron	TE_00000400	395711	355922	26.60
DNA/Helitron	TE_00000402	34557	32704	16.18
DNA/Helitron	TE_00000404	32927	32328	10.69
DNA/Helitron	TE_00000405	16324	15619	17.23
DNA/Helitron	TE_00000407	102645	98989	22.51
DNA/Helitron	TE_00000409	316781	298548	24.32
DNA/Helitron	TE_00000412	11800	11128	9.92
DNA/Helitron	TE_00000414	51828	49265	16.13
DNA/Helitron	TE_00000448	4891	4843	2.74
DNA/Helitron	TE_00000450	28179	27203	9.10
DNA/Helitron	TE_00000456	27171	26478	3.62
DNA/Helitron	TE_00000469	61385	56670	16.76
DNA/Helitron	TE_00000476	10882	10047	16.72
DNA/Helitron	TE_00000480	13489	12884	3.26
DNA/Helitron	TE_00000481	5810	5672	3.39
DNA/Helitron	TE_00000482	6690	6490	4.81
DNA/Helitron	TE_00000484	29683	28229	18.72
DNA/Helitron	TE_00000485	18401	17689	22.34
DNA/Helitron	TE_00000486	10543	10042	17.27
DNA/Helitron	TE_00000490	5389	5142	4.45
DNA/Helitron	TE_00000493	3729	3567	8.15
DNA/Helitron	TE_00000495	8636	8395	5.39
DNA/Helitron	TE_00000502	58917	56357	20.15
DNA/Helitron	TE_00000978	336986	319740	26.15
DNA/Helitron	TE_00001010	84305	80139	13.94
DNA/Helitron	TE_00001066	171509	166338	34.81
LINE/unknown	TE_00000107	11423	11118	14.39
LINE/unknown	TE_00000121	44058	42335	21.61
LINE/unknown	TE_00000182	11173	10958	14.44
LINE/unknown	TE_00000183	38899	33560	24.76
LINE/unknown	TE_00000200	31036	29657	18.28
LTR/Copia	TE_00000445_INT	105509	97379	19.03
LTR/Copia	TE_00000524_LTR	3039	3024	6.23
LTR/Copia	TE_00000533_LTR	1516	1512	3.09
LTR/Copia	TE_00000570_LTR	15864	13639	4.93
LTR/Copia	TE_00000572_INT	42472	41796	15.71
LTR/Copia	TE_00000573_INT	119490	118310	16.24
LTR/Copia	TE_00000580_LTR	22579	22462	8.81
LTR/Copia	TE_00000592_LTR	1928	1887	10.29
LTR/Copia	TE_00000610_INT	55539	54036	28.41
LTR/Copia	TE_00000612_LTR	6293	6104	23.24
LTR/Copia	TE_00000613_INT	11558	11385	16.21
LTR/Copia	TE_00000617_INT	9569	9378	29.00
LTR/Copia	TE_00000621_LTR	2385	2381	3.53
LTR/Copia	TE_00000630_INT	9126	8999	10.76
LTR/Copia	TE_00000639_INT	41111	40955	5.95
LTR/Copia	TE_00000640_INT	39096	38347	28.22
LTR/Copia	TE_00000647_INT	43117	42100	17.65
LTR/Copia	TE_00000649_INT	38194	37262	32.10
LTR/Copia	TE_00000655_INT	5334	5248	8.66
LTR/Copia	TE_00000663_INT	11395	11017	36.98
LTR/Copia	TE_00000667_INT	1357	1357	16.19
LTR/Copia	TE_00000670_INT	114952	114205	14.00
LTR/Copia	TE_00000676_INT	74189	72258	22.99
LTR/Copia	TE_00000678_INT	41949	41284	11.67
LTR/Copia	TE_00000683_LTR	3334	3331	8.44
LTR/Copia	TE_00000685_LTR	517	517	3.70
LTR/Copia	TE_00000686_INT	42640	41504	31.48
LTR/Copia	TE_00000692_LTR	10242	10194	12.33
LTR/Copia	TE_00000697_LTR	40048	39781	13.11
LTR/Copia	TE_00000699_INT	15179	14833	9.56
LTR/Copia	TE_00000712_LTR	852	848	3.52
LTR/Copia	TE_00000716_LTR	16278	16159	10.98
LTR/Copia	TE_00000722_LTR	2413	2362	6.72
LTR/Copia	TE_00000724_INT	70337	69077	24.82
LTR/Copia	TE_00000727_INT	16720	16669	6.48
LTR/Copia	TE_00000731_LTR	3582	3477	15.69
LTR/Copia	TE_00000735_INT	24650	24441	13.32
LTR/Copia	TE_00000759_INT	12079	11991	11.16
LTR/Copia	TE_00000761_LTR	3068	3062	9.85
LTR/Copia	TE_00000775_LTR	277827	264215	18.22
LTR/Copia	TE_00000781_INT	360218	358343	13.94
LTR/Copia	TE_00000783_LTR	405	405	6.37
LTR/Copia	TE_00000798_INT	533	520	17.64
LTR/Copia	TE_00000805_INT	1866	1822	6.94
LTR/Copia	TE_00000815_LTR	57100	52863	17.21
LTR/Copia	TE_00000826_LTR	5179	5143	9.75
LTR/Copia	TE_00000828_LTR	3022	2820	7.52
LTR/Copia	TE_00000836_LTR	1352	1351	5.56
LTR/Copia	TE_00000860_LTR	71842	70798	9.92
LTR/Copia	TE_00000864_LTR	1717	1666	8.92
LTR/Copia	TE_00000866_LTR	4441	4337	19.42
LTR/Copia	TE_00000867_LTR	16493	16124	18.82
LTR/Copia	TE_00000875_INT	2749	2747	9.02
LTR/Copia	TE_00000891_LTR	171604	169211	12.30
LTR/Copia	TE_00000922_LTR	78631	77031	17.51
LTR/Copia	TE_00000927_INT	3157	3151	6.78
LTR/Copia	TE_00000947_LTR	112331	110443	13.65
LTR/Copia	TE_00000953_INT	460013	457761	7.02
LTR/Copia	TE_00000954_INT	5502	5499	11.41
LTR/Copia	TE_00000958_LTR	315	313	2.42
LTR/Copia	TE_00000961_INT	68828	67207	32.27
LTR/Copia	TE_00000963_INT	2354	2297	2.00
LTR/Copia	TE_00000964_INT	704836	699195	9.95
LTR/Copia	TE_00000968_INT	153558	149545	15.03
LTR/Copia	TE_00000975_LTR	390629	381794	16.74
LTR/Copia	TE_00000977_INT	71300	69813	27.33
LTR/Copia	TE_00001001_LTR	3425	3423	4.89
LTR/Copia	TE_00001002_LTR	926	925	8.15
LTR/Copia	TE_00001003_INT	10263	10123	6.57
LTR/Copia	TE_00001013_LTR	3491	3384	14.97
LTR/Copia	TE_00001022_INT	38242	36530	19.40
LTR/Copia	TE_00001026_INT	41996	40342	22.76
LTR/Copia	TE_00001033_INT	19256	19081	12.25
LTR/Copia	TE_00001049_LTR	109226	107609	16.36
LTR/Copia	TE_00001057_INT	70376	69249	16.35
LTR/Copia	TE_00001059_INT	135809	132882	30.44
LTR/Copia	TE_00001062_INT	579974	566806	17.03
LTR/Copia	TE_00001073_INT	49205	48467	27.34
LTR/Copia	TE_00001074_LTR	358747	354376	19.63
LTR/Gypsy	TE_00000327_INT	1226	1226	3.26
LTR/Gypsy	TE_00000390_INT	60580	57906	29.34
LTR/Gypsy	TE_00000392_INT	2942	2896	14.67
LTR/Gypsy	TE_00000421_INT	2186	2144	4.68
LTR/Gypsy	TE_00000518_INT	219	209	39.39
LTR/Gypsy	TE_00000519_INT	313118	305360	7.24
LTR/Gypsy	TE_00000520_INT	122935	120897	13.98
LTR/Gypsy	TE_00000522_LTR	1987	1987	5.13
LTR/Gypsy	TE_00000531_INT	15380	15271	10.65
LTR/Gypsy	TE_00000532_LTR	100184	97229	17.20
LTR/Gypsy	TE_00000534_LTR	2427	2244	18.48
LTR/Gypsy	TE_00000537_LTR	55537	54317	15.05
LTR/Gypsy	TE_00000538_INT	636698	633000	13.36
LTR/Gypsy	TE_00000540_LTR	622230	603149	15.52
LTR/Gypsy	TE_00000543_INT	3420	3165	21.14
LTR/Gypsy	TE_00000547_LTR	20037	19829	12.15
LTR/Gypsy	TE_00000548_LTR	344037	332517	18.24
LTR/Gypsy	TE_00000554_LTR	918	901	7.34
LTR/Gypsy	TE_00000556_INT	525255	521278	21.19
LTR/Gypsy	TE_00000557_LTR	3763	3628	23.97
LTR/Gypsy	TE_00000558_INT	67619	67323	26.83
LTR/Gypsy	TE_00000559_INT	50666	48912	13.62
LTR/Gypsy	TE_00000563_INT	22157	21838	30.10
LTR/Gypsy	TE_00000565_INT	50810	50509	20.36
LTR/Gypsy	TE_00000566_LTR	70711	66661	19.38
LTR/Gypsy	TE_00000569_LTR	1773	1750	13.93
LTR/Gypsy	TE_00000574_LTR	20638	20336	17.82
LTR/Gypsy	TE_00000583_INT	9116	8852	7.68
LTR/Gypsy	TE_00000585_INT	2497	2497	0.00
LTR/Gypsy	TE_00000586_INT	11643	11636	12.97
LTR/Gypsy	TE_00000588_LTR	1935	1899	15.56
LTR/Gypsy	TE_00000590_LTR	36882	36222	11.24
LTR/Gypsy	TE_00000591_INT	443770	436869	18.91
LTR/Gypsy	TE_00000593_INT	15178	14864	17.22
LTR/Gypsy	TE_00000594_LTR	644	644	1.94
LTR/Gypsy	TE_00000596_LTR	139917	135276	22.55
LTR/Gypsy	TE_00000597_INT	374	351	11.76
LTR/Gypsy	TE_00000600_INT	52607	51793	19.82
LTR/Gypsy	TE_00000602_LTR	4871	4733	19.81
LTR/Gypsy	TE_00000605_LTR	1775	1645	14.95
LTR/Gypsy	TE_00000614_INT	23793	23660	16.25
LTR/Gypsy	TE_00000615_LTR	2597	2456	22.38
LTR/Gypsy	TE_00000618_INT	27796	27393	27.57
LTR/Gypsy	TE_00000620_INT	117633	116279	16.49
LTR/Gypsy	TE_00000622_LTR	3609	3404	14.35
LTR/Gypsy	TE_00000623_LTR	42674	42158	19.41
LTR/Gypsy	TE_00000625_INT	633143	624350	18.77
LTR/Gypsy	TE_00000626_LTR	981	949	5.03
LTR/Gypsy	TE_00000628_LTR	1488	1463	13.72
LTR/Gypsy	TE_00000629_LTR	4778	4564	18.07
LTR/Gypsy	TE_00000631_INT	7778	7639	18.32
LTR/Gypsy	TE_00000632_INT	111057	108860	14.19
LTR/Gypsy	TE_00000637_LTR	59339	57083	12.78
LTR/Gypsy	TE_00000641_INT	125643	122743	18.08
LTR/Gypsy	TE_00000648_INT	4627	4616	12.62
LTR/Gypsy	TE_00000650_LTR	177419	167050	20.09
LTR/Gypsy	TE_00000652_INT	14421	14146	7.48
LTR/Gypsy	TE_00000656_LTR	12009	11742	18.45
LTR/Gypsy	TE_00000661_LTR	1424	1417	3.57
LTR/Gypsy	TE_00000662_INT	66905	65566	13.96
LTR/Gypsy	TE_00000664_INT	16330	16240	22.41
LTR/Gypsy	TE_00000665_LTR	5363	5204	13.25
LTR/Gypsy	TE_00000666_INT	12912	12874	4.67
LTR/Gypsy	TE_00000674_LTR	231178	226614	13.81
LTR/Gypsy	TE_00000675_LTR	4111	3787	7.11
LTR/Gypsy	TE_00000677_LTR	58014	56042	15.73
LTR/Gypsy	TE_00000680_INT	1138	1137	2.44
LTR/Gypsy	TE_00000681_INT	18020	17999	15.17
LTR/Gypsy	TE_00000684_INT	7272	7216	8.42
LTR/Gypsy	TE_00000689_LTR	1944	1905	12.28
LTR/Gypsy	TE_00000695_LTR	3517	3242	20.35
LTR/Gypsy	TE_00000700_INT	53442	52704	20.83
LTR/Gypsy	TE_00000705_LTR	1874	1777	15.83
LTR/Gypsy	TE_00000708_LTR	238045	232569	16.31
LTR/Gypsy	TE_00000713_LTR	2904	2867	20.84
LTR/Gypsy	TE_00000714_LTR	166960	156719	21.93
LTR/Gypsy	TE_00000715_LTR	407361	401298	12.85
LTR/Gypsy	TE_00000717_INT	23113	23012	11.75
LTR/Gypsy	TE_00000726_LTR	6260	6141	13.61
LTR/Gypsy	TE_00000729_LTR	3019	3013	3.90
LTR/Gypsy	TE_00000733_LTR	2060	2060	0.94
LTR/Gypsy	TE_00000736_INT	5419	5257	36.29
LTR/Gypsy	TE_00000738_INT	37792	35394	32.68
LTR/Gypsy	TE_00000739_INT	12845	12782	18.15
LTR/Gypsy	TE_00000740_INT	639827	631051	20.76
LTR/Gypsy	TE_00000741_LTR	82639	80262	16.68
LTR/Gypsy	TE_00000742_LTR	1882	1802	14.44
LTR/Gypsy	TE_00000743_LTR	5021	4905	23.06
LTR/Gypsy	TE_00000748_INT	62945	62192	15.08
LTR/Gypsy	TE_00000750_LTR	1621	1606	7.39
LTR/Gypsy	TE_00000752_INT	57020	56522	20.30
LTR/Gypsy	TE_00000754_LTR	1824	1807	8.44
LTR/Gypsy	TE_00000755_INT	100996	99598	17.58
LTR/Gypsy	TE_00000756_LTR	3661	3527	11.41
